Symbol,Name
BKV,Dukang Distillers Hldgs Ltd
BKW,Datapulse Technology Limited
BKX,Yongmao Holdings Limited
BKZ,Suntar Eco-city Limited
BLA,Union Steel Holdings Limited
BLH,Hai Leck Holdings Limited
BLR,Darco Water Technologies Ltd
BLS,Hotung Investment Hldgs Ltd
BLU,Grp Ltd
BLW,Global Palm Resources Hlgs Ltd
BLZ,Advanced Holdings Ltd.
BMGU,Bhg Retail Reit
BMT,New Silkroutes Group Limited
BN2,Valuetronics Holdings Limited
BN4,Keppel Corporation Limited
BNE,Kencana Agri Limited
BOU,Informatics Education Ltd.
BPF,Yhi International Limited
BQC,Xpress Holdings Ltd
BQD,Envictus International Hldgltd
BQF,Xmh Holdings Ltd.
BQM,Tiong Woon Corp Holding Ltd
BQN,Bh Global Corporation Limited
BQP,Southern Packaging Group Ltd
BRD,Sapphire Corporation Limited
BRS,Usp Group Limited
BS6,Yangzijiang Shipbldg Hldgs Ltd
BSL,Raffles Medical Group Ltd
BTE,Bund Center Investment Ltd
BTF,Debao Property Development Ltd
BTG,Hg Metal Manufacturing Ltd
BTJ,A-sonic Aerospace Limited
BTM,Penguin International Limited
BTOU,Manulife Us Reit
BTP,Baker Technology Limited
BTWZ,Hyflux S$500m6%perpcapsec
BTX,Anchun International Hldgs Ltd
BTY,Full Apex (holdings) Limited
BUOU,Frasers Logistics & Ind Trust
BVA,Top Glove Corporation Bhd
BVP,Aims Property Securities Fund
BVQ,Procurri Corporation Limited
BWCU,Ec World Reit
BWM,China Jinjiang Env Hldg Co Ltd
BXE,Cdw Holding Limited
BYI,Phillip Sgx Apac Div Reit Etf
BYJ,Phillip Sgx Apacdiv Reit Etfs$
C04,Casa Holdings Limited
C05,Chemical Industries (f.e.) Ltd
C06,Csc Holdings Ltd
C07,Jardine Cycle & Carriage Ltd
C09,City Developments Limited
C13,Ch Offshore Ltd
c29,Chip Eng Seng Corporation Ltd
C2PU,Parkwaylife Reit
C33,Chuan Hup Holdings Limited
C38U,Capitamall Trust
C41,Cortina Holdings Limited
C52,Comfortdelgro Corporation Ltd
C6L,Singapore Airlines Ltd
C70,City Developments Ltd Nccps
C76,Creative Technology Ltd
C8R,Jiutian Chemical Group Limited
C9Q,Sinostar Pec Holdings Limited
CC3,Starhub Ltd
CDVZ,Krisenergy S$139.464mz240131
CDXW,Krisenergy Ltd. W240131
CEDU,Dasin Retail Trust
CFA,Nikkoam-stc Asia_xj Reit Etf
CGN,Best World International Ltd
CGP,Noble Group Limited
CHJ,Uni-asia Group Limited
CHZ,Hrnetgroup Limited
CIN,Courage Marine Group Limited
CJLU,Netlink Nbn Trust
CJN,British & Malayan Hldg Limited
CLN,Apac Realty Limited
CLR,Lion-phillip S-reit Etf
CMGS,Nx18100a 280501
CMHS,N518100e 230201
CMOU,Keppel-kbs Us Reit
CNE,Mindchamps Preschool Limited
COI,Nikkoam-stc Asia_xj Reit Us$
CQLW,Marco Polo Marine Ltd. W230129
CRPU,Sasseur Reit
CRWW,Mtq Corporation Limitedw230417
CTO,Hong Lai Huat Group Limited
CUDW,Hsi 7xlongsg230215
CUEW,S&p 5xlongsg250228
CUFW,Hscei 7xlongsg240327
CUHW,Hsi 21200mbecw220830
CUKW,Dlc Sg5xshorthsc230420
CUMW,Djia 5xshortsg250911a
CUUW,Hsi 7xlongsg231215
CVAW,Hsi 7xlongsg240215
CVBW,Simsci 7xlongsg230306
CVDW,Hsi 7xlongsg240327
CVEW,Sti 5xlongsg250529
CVGW,Hscei 5xlongsg240912
CVPW,Dlc Sg5xlongmsg230420
CVZW,Sembind Mbecw230228
CWAW,Dlc Sg5xlonghsi230420
CWBU,Cromwell Reit Eur
CWCU,Cromwell Reit Sgd
CWDW,Hstech 5xlongsg230215
CWEW,Hstech 5xshortsg230216
CWFW,Hscei 7xlongsg240424
CWGW,Hstech 5xshortsg240327
CWHW,Sti 7xlongsg250529
CWKW,Hscei 5xshortsg240912
CXBW,S&p 5xshortsg250228
CXCW,Hstech 5xlongsg240424
CXDW,Hstech 5xlongsg230216
CXEW,Ndx 5xshortsg240425
CXGW,Sti 2xshortsg250529
CXJW,Hscei 7xshortsg240912
CXQW,Dlc Sg5xshorthsi230420
CXRW,Hscei 7xshortsg231215
CY6U,Ascendas India Trust
CYAW,S&p 5xlongsg250228a
CYB,Icbc Csop Cgb Etf Us$d
CYC,Icbc Csop Cgb Etf S$
CYDW,Ndx 5xlongsg240425
CYEW,Ndx 5xshortsg240425a
CYFW,Hscei 7xlongsg231215
CYGW,Sti 5xshortsg250529
CYJW,Hsi 5xlongsg240912
CYTW,Dlc Sg5xshortmsg230420
CYW,Tricklestar
CZAW,Dlc Sg7xlongmsg230404
CZBW,Dlc Sg7xshorthsi230920
CZDW,Simsci 7xshortsg231215
CZEW,S&p 5xshortsg250228a
CZFW,Ndx 5xlongsg240425a
CZGW,Sti 7xshortsg250529
CZHW,Hsi 7xlongsg240912
CZJW,Hsi 5xshortsg240912
CZMW,Hsi 7xshortsg240125
CZPW,Dlc Sg5xlonghsc230420
CZSW,Dlc Sg7xshortmsg230712
D00W,Dlc Sg5xlongpetchina B
D01,Dairy Farm Int'l Holdings Ltd
D03,Del Monte Pacific Limited
D05,Dbs Group Holdings Ltd
D07,Spdr Djia Etf Trust
D5IU,Lippo Malls Indo Retail Trust
D8DU,First Ship Lease Trust
DAEW,Dlc Sg5xshortsunny A
DAFW,Dlc Sg5xlongaac A
DAIW,Lenovo 5xlongsg240215
DAJW,Alibaba 5xshortsg230330
DAKW,Wilmar 5xshortsg240424
DAMW,Hkex 5xlongsg240516
DAOW,Aac 5xlongsg230620
DATW,Aac 5xlongsg231214
DAZW,Dlc Sg5xshortkepcorp A
DBCW,Dlc Sg5xshortgeely A
DBHW,Venture 5xlongsg230713
DBIW,Lenovo 5xshortsg240215
DBJW,Baidu 5xshortsg230330
DBMW,Sunny 5xshortsg230424
DBNW,Kuaisho 5xshortsg230516
DBPW,Anta 5xlongsg240620
DBTW,Dlc Sg5xlonggalaxy A
DBYW,Singtel 5xlongsg231214
DCDW,Geely 5xshortsg231214
DCFW,Alibaba 5xshortsg230504
DCGW,Sia 5xlongsg240424
DCHW,Meituan 5xshortsg230516
DCJW,Lining 5xlongsg231019
DCKW,Gwmotor 5xlongsg221223
DCNW,Bilibili 5xshortsg230620
DCRU,Digicore Reit Usd
DDBW,Dlc Sg5xshortwilmar A
DDDW,Kuaisho 5xlongsg230330
DDEW,Geely 5xshortsg230126
DDOW,Alibaba 5xlongsg230504
DDPW,Sgx 5xlongsg240424
DDSW,Sats 5xlongsg250515
DDTW,Byd 5xshortsg230620
DDXW,Bydelec 5xlongsg221013
DDZW,Dlc Sg5xshortgeely B
DEBW,Sunny 5xshortsg221215
DECW,Kuaisho 5xshortsg230330
DEDW,S&p 3000mbepw221216
DEEW,Pingan 5xlongsg240424
DEFW,Sats 5xshortsg250515
DEGW,Gwmotor 5xlongsg230620
DEUW,Dlc Sg5xlongcitydev A
DEXW,Ganfeng 5xshortsg221223
DEZW,Dlc Sg5xshortuob A
DFDW,Tencent 5xshortsg230330
DFIW,Ocbc 5xshortsg240424
DFJW,Dlc Sg5xshortocbc A
DFKW,Sembcorp 5xlongsg250515
DFLW,Lining 5xlongsg240620
DFSW,Dlc Sg5xshortsunny B
DFYW,Dlc Sg5xshort Byd
DGBW,Dlc Sg5xshort Areit
DGCW,Dlc Sg5xshort Galaxy A
DGEW,Areit 5xshortsg231214
DGGW,Tencent 5xlongsg230330
DGKW,Kepcorp 5xshortsg240424
DGMW,Sembcorp 5xshortsg250515
DGNW,Jd 5xshortsg230620
DGXW,Bydelec 5xshortsg221013
DGZW,Meituan 5xlongsg221215
DHAW,Netease 5xshortsg230330
DHBW,Uob 5xlongsg230713
DHDW,Dlc Sg5xlong Clife
DHEW,Dlc Sg5xshort Hkex A
DHGW,Dlc Sg5xshortwilmar B
DHLU,Daiwa Hse Log Tr
DHMW,Pingan 5xshortsg230705
DHNW,Kepcorp 5xlongsg240424
DHQW,Steng 5xlongsg250515
DHRW,Meituan 5xshortsg230620
DHSW,Dlc Sg5xlong Hsbc A
DHVW,Sinobio 5xshortsg231220
DHZW,Petroch 5xshortsg231012
DIBW,Ckasset 5xshortsg231019
DICW,Meituan 5xshortsg230330
DIGW,Steng 5xshortsg250515
DIHW,Tencent 5xlongsg231214
DIIW,Sunny 5xlongsg230620
DINW,Dlc Sg5xlong Byd
DIZW,Ganfeng 5xlongsg221223
DJAW,Dlc Sg5xlong Cmob
DJCW,Dlc Sg5xlong Jd
DJDW,Dlc Sg5xlongjd A
DJEW,Meituan 5xlongsg230330
DJHW,Ckasset 5xlongsg231019
DJIW,Xiaomi 5xlongsg221215
DJLW,Cmb 5xlongsg240801
DJMW,Alibaba 5xshortsg230803
DJNW,Xpeng 5xlongsg230620
DKAW,Aac 5xlongsg240201
DKBW,Dbs 5xlongsg240306
DKCW,Alibaba 5xlongsg230329
DKEW,Dlc Sg5xlongkepcorp A
DKGW,Bilibili 5xlongsg230803
DKKW,Dlc Sg5xlongsia A
DKLW,Sinobio 5xlongsg231220
DKMW,Singtel 5xshortsg230713
DKTW,Sands 5xlongsg221013
DLBW,Galaxy 5xlongsg221013
DLCW,Byd 5xlongsg230202
DLDW,Dbs 5xshortsg240306
DLEW,Baidu 5xlongsg230329
DLFW,Byd 5xlongsg230803
DLGW,Byd 5xlongsg230914
DLKW,Kingdee 5xlongsg231220
DLPW,Hsi 20200mbecw220929
DLSW,Kingsof 5xshortsg231220
DLTW,Hkex 5xshortsg240125
DM0,Psc Corporation Ltd
DMBW,Dlc Sg5xlong Alibaba
DMDW,Kingsof 5xlongsg220908
DMEW,Dlc Sg5xlong Meituan
DMFW,Cnooc 5xlongsg240201
DMHW,Meituan 5xlongsg230306
DMIW,Tencent 5xshortsg231214
DMJW,Bilibili 5xlongsg230329
DMKW,Bydelec 5xshortsg230803
DMMW,Byd 5xshortsg230914
DMUW,Dlc Sg5xlongocbc A
DNAW,Dlc Sg5xlongnetease A
DNDW,Geely 5xlongsg230202
DNFW,Dlc Sg5xlongalibaba A
DNGW,Meituan 5xlongsg230306a
DNHW,Bydelec 5xlongsg230329
DNJW,Galaxy 5xlongsg230914
DNSW,Dlc Sg5xlong Netease
DNZW,Dlc Sg5xshort Clife
DOCW,Hsbc 5xlongsg250203
DOGW,Uob 5xlongsg240306
DOLW,Geely 5xlongsg230329
DOMW,Cosco 5xlongsg230803
DONW,Galaxy 5xshortsg230914
DOOW,Kingdee 5xshortsg231220
DOPW,Dlc Sg5xlong Pahealth
DPBW,Wilmar 5xlongsg240306
DPDW,Tencent 5xlongsg230803
DPEW,Dlc Sg5xshort Shkp
DPFW,Cosco 5xshortsg230803
DQAW,Dlc Sg5xlongareit A
DQBW,Dlc Sg5xshort Cmob
DQCW,Cnooc 5xshortsg240201
DQEW,Dbs 5xlongsg230713
DQGW,Genting 5xshortsg240306
DQHW,Wuxibio 5xshortsg230803
DQJW,Ganfeng 5xlongsg230803
DQPW,Pingan 5xlongsg230705
DRAW,Kuaisho 5xlongsg230202
DRBW,Sia 5xshortsg240306
DRGW,Dlc Sg5xlong Shkp
DRX,St Group Food
DSDW,Dlc Sg5xlongsunny A
DSFW,Wuxibio 5xlongsg230215
DSGW,Cmb 5xshortsg231019
DSHW,Geely 5xshortsg221215
DSMW,Uob 5xshortsg240306
DSOW,Xiaomi 5xshortsg231214
DSPW,Sands 5xlongsg230803
DSTW,Sunny 5xshortsg231214
DTCW,Tencent 5xshortsg230202
DTDW,Cmb 5xlongsg231019
DTFW,Dlc Sg5xshortdbs A
DTGW,Sia 5xlongsg230713
DTHW,Byd 5xshortsg231214
DTIW,Hsbc 5xshortsg241213
DTJW,Dlc Sg5xlongcnooc A
DTMW,Cmob 5xlongsg250213
DTSW,Dlc Sg5xshorttencent B
DTXW,Bilibili 5xlongsg221223
DTZW,Jd 5xlongsg230329
DU4,Mermaid Maritime Public Co Ltd
DUBW,Dlc Sg5xlonggenting A
DUFW,Dlc Sg5xlong Cspc
DUHW,Cmob 5xshortsg250213
DULW,Netease 5xlongsg230329
DUSW,S&p 3700mbepw220916
DUXW,Aia 5xshortsg240125
DVAW,Clife 5xlongsg240215
DVBW,Lining 5xshortsg231019
DVCW,Dlc Sg5xshortventure B
DVHW,Bydelec 5xlongsg231220
DVIW,Alibaba 5xlongsg231214
DVJW,Sunny 5xlongsg230329
DVPW,Dlc Sg5xlonggeely B
DVUW,Cosco 5xshortsg221223
DWAW,Dlc Sg5xshort Cspc
DWCW,Ccb 5xlongsg240807
DWDW,Wuxibio 5xshortsg221020
DWEW,Clife 5xshortsg240215
DWGW,Aia 5xlongsg241213
DWHW,Xiaomi 5xlongsg230329
DWKW,Cosco 5xlongsg221223
DWTW,Dlc Sg5xshortaac B
DXAW,Dlc Sg5xlong Areit
DXBW,Dlc Sg5xshort Xiaomi A
DXGW,Anta 5xshortsg231019
DXHW,Galaxy 5xshortsg221215
DXIW,Citydev 5xshortsg231214
DXKW,Xpeng 5xlongsg221223
DXLW,Dlc Sg5xlong Xiaomi
DXSW,Dlc Sg5xshort Xiaomi
DXZW,Dlc Sg5xlong Alihealth
DYDW,Dlc Sg5xshortaac A
DYKW,Dlc Sg5xshortsgx A
DYYW,Hkex 5xlongsg240125
DZAW,Dlc Sg5xlongpetchina A
DZDW,Anta 5xlongsg231019
DZEW,Sands 5xshortsg230202
DZKW,Gwmotor 5xshortsg221223
DZQW,Kingsof 5xshortsg230126
DZWW,Byd 5xshortsg230202
DZYW,Ccb 5xshortsg231214
E27,Eucon Holding Limited
E28,Frencken Group Limited
E3B,Wee Hur Holdings Ltd.
E5H,Golden Agri-resources Ltd
E6R,Samko Timber Limited
E9L,Joyas International Hldgs Ltd
EADW,S&p 3800mbepw230317
EAPS,Nx22100w 320801
EB5,First Resources Limited
EB7,Ktl Global Limited
EBEW,Hscei 7xlongub250430
EG0,Jes International Holdings Ltd
EH5,United Overseas Australia Ltd
EHG,Econ Healthcare
EHUW,Jd 5xlongub250228
ELTW,Thaibev 5xshortsg231115
EMI,Emperador Inc.
ENV,Ls 2 Holdings
ER0,Ksh Holdings Limited
ERKW,Singtelmbecw220915
ES3,Sti Etf
ESG,Lgi-ospl Slc Etf S$
ESU,Lgi-ospl Slc Etf Us$
ESVW,Dbs Mb Ecw221230
EUUW,Sia Mb Ecw220915
EVD,Nikkoam-stc Cn Ev Us$
EVS,Nikkoam-stc Cn Ev S$
EVYW,Sia Mb Ecw230104
F03,Food Empire Holdings Limited
F10,F J Benjamin Holdings Ltd
F13,Fu Yu Corporation Ltd
F17,Guocoland Limited
F1E,Low Keng Huat (singapore) Ltd
F34,Wilmar International Limited
F83,Cosco Corporation (s) Ltd
F86,Cougar Logistics Corpn Ltd
F99,Fraser And Neave Limited
F9D,Boustead Singapore Limited
FBXW,Meituan 5xshortub250430
FCCW,Xiaomi Mbepw221004
FDWW,Hkex 5xlongub250228
FIAW,China Real Estate W230726
FLYW,Pingan Mb Ecw221202
FQ7,Jasper Investments Limited
FRQ,Sing Paincare
G07,Great Eastern Hldgs Ltd
G0I,Nam Lee Pressed Metal Inds Ltd
G11,Global Tech (hldgs) Limited
G13,Genting Singapore Plc
G1N,Lyxor Etf Msci India 10
G20,Gp Industries Limited
G3B,Dbs Singapore Sti Etf
G41,G. K. Goh Holdings Limited
G50,Grand Banks Yachts Limited
G92,China Aviation Oil(s) Corp Ltd
GIH,Lhn Logistics
GRE,Uob Ap Grn Reit Us$
GRN,Uob Ap Grn Reit S$
GRQ,Don Agro
GSD,Gld Sg$
GU5,China Kunda Tech Holdings Ltd
GVVW,Wilmar Mb Ecw221014
H02,Haw Par Corp Ltd
H07,Stamford Land Corporation Ltd
H12,Hotel Royal Ltd
H13,Ho Bee Investment Limited
H15,Hotel Properties Ltd
H18,Hotel Grand Central Ltd
H19,Hwa Hong Corporation Limited
H1N,Lyxor Etf Msci Emerging Mkt 10
H20,Hoe Leong Corporation Ltd.
H22,Hong Leong Asia Ltd.
H30,Hong Fok Corporation Ltd
H78,Hongkong Land Holdings Limited
HBYW,Netease 5xlongub250228
HD9,Dbxt Ftse Vietnam Etf 10
HDTW,Galaxy 5xshortub250430
HHKW,Ascendasreit Mbecw221101
HIMW,Alibaba Mb Ecw221004
HIYW,Tencentmbecw221004
HKB,Amtd Ib Ov
HMN,Ascott Trust
HMPW,Kepcorpmbecw221031
HMSW,Kepcorpmbecw230628
HOHW,Hsi 7xshortub241231
HQU,Oiltek
HSS,Lion-ocbc Sec Hstech Us$
HST,Lion-ocbc Sec Hstech S$
HVQW,Geely Mb Ecw221004
HXYW,Wilmar Mb Ecw230316
HYLW,Hsi 18400mbepw221129
1A0,Katrina Group Ltd.
1A1,Wong Fong Industries Limited
1A4,Agv Group Limited
1AZ,Audience
1B0,Mm2 Asia Ltd.
1B1,Hc Surgical Specialistslimited
1B6,Ocean Sky International Ltd
1C0,Cedar Strategic Holdings Ltd
1C5,Pacific Star Development Ltd
1D0,Kimly Limited
1D1,Unusual Limited
1D3,Lifebrandz Ltd.
1D4,Aoxin Q & M Dental Grp Limited
1D5,Capital World Limited.
1E3,Sanli Environmental Limited
1F0,Shopper360 Limited
1F1,Y Ventures Group Ltd.
1F2,Union Gas Holdings Limited
1F3,Aspen (group) Holdings Limited
1G1,Re&s Holdings Limited
1G5W,Cwx Global Limited W221213
1G6,No Signboard Holdings Ltd.
1G7W,Amplefield Limited W221218
1H2,Olive Tree Estates Limited
1H3,Clearbridge Health Limited
1H4,Memories Group Limited
1H7W,Asia-pacific Strategic W230130
1H8,Ly Corporation Limited
1J0,Slb Development Ltd.
1J3,Asian Healthcare Specialists
1J4,Jep Holdings Ltd.
1J5,Hyphens Pharma Intl Limited
1J7,Jawala Inc.
1R6,Avi-tech Hldg
1V3,Mooreast
1X5W,Aia 5xshortub250430
1Y1,Vikingoffshore
J03,Jadason Enterprises Ltd
J17,Jackspeed Corporation Limited
J2T,Hock Lian Seng Holdings Ltd
J36,Jardine Matheson Hldgs Ltd
J69U,Frasers Centrepoint Trust
J85,Cdl Hospitality Trusts
J91U,Cambridge Industrial Trust
JCIW,Sands Mb Ecw230104
JFWW,Galaxy Mb Ecw221202
JGIW,S&p 4900mbecw220916
JK8,United Sse 50 China Etf
JLB,Grand Venture Technology Ltd
JMFW,Geely 5xlongub250228
JRTW,Ccb 5xlongub250430
JUEW,Hsi 19400mbecw220929
JYEU,Lendlease Reit
K03,Khong Guan Flour Milling Ltd
K1Q,Ttj Holdings Limited
K29,Karin Technology Hldgs Limited
K3CD,China Eastern Air Adr 10
K3DD,Sinopec Petrochemical Adr 10
K3HD,Aluminum Corp Of China Adr 10
K3MD,Netease.com Adr 10
K3OD,Petrochina Adr 10
K3RD,Ctrip.com International Adr 10
K3SD,Baidu.com Adr 10
K3TD,China Southern Air Adr 10
K6S,Prudential Plc
K71U,K-reit Asia
K75,Koh Brothers Group Limited
KAVW,Byd250 Mb Ecw230104
KGRW,Kuaisho 5xshortub250228
KHDW,Koh Brothers Eco Engg W230925
KJ5,Bbr Holdings (s) Ltd
KJ7,Dbxt Msci Indonesia Etf 10
KJZW,Vikingw270628
KNXW,Hsi 7xlongub241231
KUH,Tsh Corporation Ltd
KUO,International Cement Groupltd.
KUX,Dlf Holdings Limited
KV4,Dbxt Iboxx Singapore Etf 5
KVDW,Ocbc Bk Mb Epw230330
KXRW,Hsi 20200mbecw221129
L02,Manhattan Resources Limited
L03,Lian Beng Group Ltd
L09,Lung Kee (bermuda) Hldgs Ltd
L19,Lum Chang Holdings Limited
L23,Enviro-hub Holdings Ltd
L38,L.c.development Ltd
L5I,Abterra Ltd
LBPW,Byd 5xshortub250430
LG9,Dbxt Msci China Trn Etf 10
LIW,Eagle Hospitality Trust
LJ3,Overseas Union Enterprise Ltd
LKQW,Hsi 18800mbepw220830
LQRW,Meituan 5xlongub241231
LS9,Leader Environmental Tech Ltd
LSCW,Informatics W240821^
LSHS,N519100a 240201
LSS,Phil Long Simsci2x S$
LSU,Phil Long Simsci2x Us$
LUY,Raffles Infrastructurehldgsltd
LXDW,Kuaisho 5xlongub250228
M01,Metro Holdings Limited
M03,Miyoshi Precision Limited
M04,Mandarin Oriental Intl Ltd
M05,Mtq Corporation Limited
M11,Mfg Integration Technology Ltd
M14,Innotek Limited
M15,Matex International Limited
M1GU,Sabana Shari'ah Compliant Reit
M1Z,Tee International Limited
M44U,Mapletree Logistics Trust
M62,Cimb Ftse Asean40 100
MBH,Nikkoam Sgd Ig Corp Bond Etf
MCUW,Ocbc Bk Mb Ecw221028
ME8U,Mapletree Industrial Trust
MF6,Mun Siong Engineering Limited
MFPW,Alibaba Mb Ecw221102
MHLW,Byd 5xshortsg221115
MIJ,Alliance Healthcare Group Ltd
MJHW,Cmob 5xlongub250228
MMS,Phillip Mm S$
MMT,Phillip Mm Us$d
MMXW,Alibaba Mb Epw230404
MNTW,Dbs Mb Epw221215
MOFB,Nc22300w 720801
MQVW,Comfort 5xlongsg231115
MQYW,Hsi 20600mbecw221028
MR7,Nordic Group Limited
MT1,Dragon Group Intl Limited
MUDW,Uob Mb Epw230530
MV4,Mewah International Inc.
MXNU,Elitecomreit Gbp
MZH,Nanofilm
N01,Neratelecommunications Ltd
N02,Nsl Ltd.
N08,New Toyo Int Hldgs Ltd
N0Z,Combine Will Intl Hldgs Ltd
N2H,Hyflux 6% Cum Pref Class A 10
N2IU,Mapletree Commercial Trust
N32,Nippecraft Limited
N33,Nomura Holdings Inc
N4E,Nam Cheong Limited
N5YD,Mufj Financial Adr 10
N6DD,Mizuho Financial Adr 10
N6FD,Toyota Motor Adr 10
N6M,Ishares Usd Asia Bond Etf
NC2,Sri Trang Agro-industry Pcl
NCWW,Wuxibio 5xlongub250430
NCXW,Lifebrandz W240621
NEX,Reclaims Global Limited
NHD,Jubilee
NIO,Nio Inc. Usd Ov
NJDW,Ocbc Bk Mb Ecw221230
NKRW,Jd Mb Epw230404
NLC,5e Resources
NMCW,Meituan 5xlongub250228
NO4,Dyna-mac Holdings Ltd.
NPW,Malaysia Smelting Corp Bhd
NR7,Raffles Education Corp Ltd
NRNW,Kuaisho Mb Epw221202
NS8U,Hutchison Port Holdings Trust
NTA,Novo Tellus Spac
NTSW,Novo Tellus Spac W291231
NUIW,Byd 5xlongub250430
NXEW,Capinv 5xlongsg231115
NXR,Iwow Tech
O08,Ossia International Ltd
O10,Orchard Parade Holdings Ltd
O39,Oversea-chinese Banking Corp
O5RU,Aims Amp Cap Industrial Reit
O6Z,Lonza Group Ltd
O87,Spdr Gold Shares
O9A,Dbxt Msci Singapore Im Etf 10
O9E,Parkson Retail Asia Limited
O9P,Ishares Usd Asia Hy Bond Etf
OAJ,Fortress Minerals Limited
OAKW,Xiaomi Mbecw230404
OAXW,Sands Mb Ecw221004
OCFR,Raffles Edu R
ODBU,Utdhampshreitusd
ODWW,Xiaomi Mbepw230104
OFBW,Lining 5xshortub250430
OL9S,Nz10100f 300901
OMK,Vividthree Holdings Ltd.
OMYW,Anta 5xshortub250430
OOPW,Hstech 5xshortub250430
OOSW,Tencent 5xlongub250228
OPTW,Hsi 17600mbepw221129
OQGW,Geely Mb Epw230104
OQTW,Gentingsmbecw221028
ORYW,Hsi 21000mbecw220929
OTS,Ots Holdings
OTX,Medinex Limited
OU8,Centurion Corporation Limited
OV8,Sheng Siong Group Ltd
OVQ,Phillip Sing Income Etf
OVVW,Jd 5xshortub250430
OXMU,Prime Us Reitusd
OYY,Propnex Limited
P11,Pacific Andes Resources Devltd
P15,Pacific Century Regional Devts
P34,Petra Foods Limited
P36,Pan Hong Property Group Ltd
P40U,Starhill Global Reit
P52,Pan-united Corporation Ltd
P58,Lyxor China H 10
P5P,Cimb S&p Asia Pacific Dividend
P60,Lyxor Asia 10
P74,China Kangda Food Company Ltd
P7VU,Hutchison Port Hldgs Trust S$
P8A,Cordlife Group Limited
P8Z,Bumitama Agri Ltd.
P9D,Civmec Limited
PA3,Ta Corporation Ltd
PBSW,Vibropower W250116^
PGEW,Pegasus Spac W291231
PGRW,Hstech 4200mbepw221229
PGS,Pegasus Spac
PH0,Hatten Land
PH1S,Na12100n 420202
PISW,Cosco 5xshortub250430
PPGW,Hsi 21800mbecw220929
PRH,Citicode Ltd
PU6D,Hsbc Adr 10
PYQW,Alibaba Mb Ecw230404
Q01,Qaf Ltd
Q0F,Ihh Healthcare Berhad
Q0X,Ultro Technologies Limited
Q5T,Far East Hospitality Trust
QAHW,Thaibev 5xlongsg231115
