Symbol,Name
AMK,American Creek Resources Ltd
AML,Akwaaba Mining Ltd
AMMO,Bullet Exploration Inc
AMO,Altan Rio Minerals Ltd
AMRQ,Amaroq Minerals Ltd
AMX,AMEX Exploration Inc
AMY,American Manganese Inc
AMZ,Azucar Minerals Ltd
AN,Arena Minerals Inc
ANE,Altan Nevada Minerals Ltd
ANK,Angkor Resources Corp
ANTL,Antler Gold Inc
ANZ,Alianza Minerals Ltd
AORO,Aloro Mining Corp
APC,Advanced Proteome Therapeutics Corp
APGO,Apollo Silver Corp
APL,Appulse Corp
APM,00Neandean Precious Metals Corp
APMI,Apogee Minerals Ltd
APN,Altiplano Minerals Ltd
APX,Apex Resources Inc
AQS,Aequus Pharmaceuticals Inc
ARCH,Arch Biopartners Inc
ARD,Armada Data Corp
ARH,Altima Resources Ltd
ARIC,Awale Resources Ltd
ARJN,Aranjin Resources Ltd
ARK,Arras Minerals Corp
ARL.P,Aurum Lake Mining Corp
AROW.P,Four Arrows Capital Corp
ART,Arht Media Inc
ART.WT,Arht Media Inc WT
ARTG,Artemis Gold Inc
ARU,Aurania Resources Ltd
ARU.WT.B,Aurania Resources Ltd
ASG,Aurora Spine Corp
ASL,Argentum Silver Corp
AST,Astron Connect Inc
ASTR,Astra Exploration Inc
ATC,Atac Resources Ltd
ATI,Altai Resources Inc
ATLY,Altaley Mining Corp
ATOM,Atomic Minerals Corp
ATR.P,Aster Acquisition Corp
ATW,Atw Tech Inc
ATX,Atex Resources Inc
ATY,Atico Mining Corp
AU,Aurion Resources Ltd
AUAU,Allegiant Gold Ltd
AUC,Goldplay Mining Inc
AUEN,Golden Sky Minerals Corp
AUGC,Au Gold Corp
AUL,Aurelius Minerals Inc
AUMB,1911 Gold Corp
AUN,Aurcana Silver Corp
AUQ,Auq Gold Mining Inc
AUR.H,Aurora Royalties Inc
AUTO,Carbeeza Inc
AUU,Gold79 Mines Ltd
AVCR,Avricore Health Inc
AVG,Avidian Gold Corp
AVN,Avanti Helium Corp
AVU,Avrupa Minerals Ltd
AVX,Altair Resources Inc
AWE,Thunderstruck Resources Ltd
AWI,Advent Awi Holdings Inc
AWM,Angel Wing Metals Inc
AWX,Arcwest Exploration Inc
AXE,Acceleware Ltd
AXL,Arrow Exploration Corp
AXM,Axmin Inc
AZ,A2Z Smart Technologies Corp
AZC.P,A2Zcryptocap Inc
AZM,Azimut Exploration Inc
AZR,Azarga Metals Corp
AZS,Arizona Silver Exploration Inc
AZT,Aztec Minerals Corp
B,Bcm Resources Corp
BAG,Blende Silver Corp
BAL.H,Balto Resources Ltd
BARU,Baru Gold Corp
BASQ.P,Bastion Square Partners Inc
BAT,Batero Gold Corp
BAU,Blue Star Gold Corp
BAY,Aston Bay Holdings Ltd
BBB,Brixton Metals Corp
BCC.P,Benz Capital Corp
BCF,Builders Capital Mortgage Corp
BCM,Bear Creek Mining Corp
BCU,Bell Copper Corp
BDGC,Boundary Gold and Copper Mining Ltd
BEA,Belmont Resources Inc
BECN,Beacn Wizardry and Magic Inc
BEN.H,Butte Energy Inc
BES,Braille Energy Systems Inc
BEW,Bewhere Holdings Inc
BEX,Benton Resources Inc
BGA,Bioneutra Global Corp
BGD,Bullion Gold Resources Corp
BGF,Beauce Gold Fields Inc
BGS,Baroyeca Gold and Silver Inc
BHS,Bayhorse Silver Inc
BHT,Braveheart Resources Inc
BIG,Hercules Silver Corp
BIGT,Big Tree Carbon Inc
BILD,Builddirect.com Technologies Inc
BITK,Blockchaink2 Corp
BKM,Pacific Booker Minerals Inc
BKMT,Blockmint Technologies Inc
BLM,Blumetric Environmental Inc
BLOK,Globalblock Digital Asset Trading Ltd
BLTC.P,Baltic I Acquisition Corp
BLUE,Blue Thunder Mining Inc
BM.H,Bc Moly Ltd
BME,Barsele Minerals Corp
BMET,Bemetals Corp
BMEX,Bmex Gold Inc
BMG,Black Mountain Gold USA Corp
BMK,Macdonald Mines Expl Ltd
BMM,Black Mammoth Metals Corp
BMR,Battery Mineral Resources Corp
BMV,Bathurst Metals Corp
BNCH,Benchmark Metals Inc
BNXA,Banxa Holdings Inc
BNZ,Bonanza Mining Corp
BOAT,The Limestone Boat Company Ltd
BOL,Bold Ventures Inc
BP,Backstageplay Inc
BQE,Bqe Water Inc
BRAU,Big Ridge Gold Corp
BRC,Blackrock Silver Corp
BRG,Brigadier Gold Ltd
BRM,Biorem Inc
BRN.PR.A,Brookfield Investments Corp Pref A
BRO,Barksdale Resources Corp
BRTA.H,Beretta Ventures Ltd
BRVO,Bravo Mining Corp
BRW,Brunswick Exploration Inc
BRZ,Bearing Lithium Corp
BSK,Blue Sky Uranium Corp
BSR,Bluestone Resources Inc
BST.H,Bessor Minerals Inc
BTCW,Bitcoin Well Inc
BTI,Bioasis Technologies Inc
BTR,Bonterra Resources Inc
BTT,Bitterroot Resources Ltd
BTU,Btu Metals Corp
BTV,Bluerush Inc
BUD,Satori Resources Inc
BUF,Buffalo Coal Corp
BURG,Burin Gold Corp
BVA,Bravada Gold Corp
BWCG,Blackwolf Copper and Gold Ltd
BWLK,Boardwalktech Software Corp
BWR,Bwr Exploration Inc
BXR,Blue River Resources Ltd
BYM.H,Baymount Incorporated
BYN,Banyan Gold Corp
BZ,Benz Mining Corp
C,Contact Gold Inc
CAC.P,Cinaport Acquisition Corp III
CAD,Colonial Coal International Corp
CAF,Canaf Investments Inc
CAG,Composite Alliance Group Inc
CAI,Capitan Investment Ltd
CANB,Canadabis Capital Inc
CAND,Candelaria Mining Corp
CANS,Wildpack Beverage Inc
CANS.DB,Wildpack Beverage Inc 8 Pct Debs
CANS.WT.A,Wildpack Beverage Inc.
CANX,Canex Metals Inc
CAPT,Capitan Mining Inc
CASA,Casa Minerals Inc
CBA,Champion Bear Res Ltd
CBG,Chibougamau Independent Mines Inc
CBI,Colibri Resource Corp
CBIT,Cathedra Bitcoin Inc
CBLT,Cblt Inc
CBLU,Clear Blue Technologies Intl Inc
CBR,Cabr AL Gold Inc
CBV,Cobra Venture Corp
CCB,Canada Carbon Inc
CCCM,C3 Metals Inc
CCD,Cascadero Copper Corp
CCE,Commerce Resources Corp
CCW,Canada Silver Cobalt Works Inc
CD,Cantex Mine Development Corp
CDA,Canuc Resources Corp
CDB,Cordoba Minerals Corp
CDX,Cloud Dx Inc
CE.H,Canada Energy Partners Inc
CEBI,Ce Brands Inc
CEC,Canasia Energy Corp
CEI,Coelacanth Energy Inc.
CEM,Constantine Metal Resources Ltd
CEN.H,Claren Energy Corp
CEP,Cliffside Capital Ltd
CERT,Cerrado Gold Inc
CFY,Cf Energy Corp
CGD,Carlin Gold Corp
CGP,Cornerstone Capital Resources Inc
CH,Charbone Hydrogen Corporation
CHIP.H,Health Logic Interactive Inc
CHS,Comprehensive Healthcare Systems Inc
CHY,Cypress Hills Resource Corp
CIII.P,Cuspis Capital III Ltd
CIO,Central Iron Ore Ltd
CKG,Chesapeake Gold Corp
CLIP,Clip Money Inc
CLUS,Colossus Resources Corp
CLV,Canoe Mining Ventures Corp
CLZ,Canasil Resources Inc
CMB,Cmc Metals Ltd
CMC,Cielo Waste Solutions Corp
CMC.WT,Cielo Waste Solutions Corp Wts
CMD,Commander Resources Ltd
CMI,C-Com Satellite Systems Inc
CMIL,Capella Minerals Ltd
CML,Canickel Mining Ltd
CMU,Comet Industries Ltd
CN,Condor Resources Inc
CNC,Canada Nickel Company Inc
CNL,Collective Mining Ltd
CNO,California Nanotechnologies Corp
CNRI,Canadian North Resources Inc
CNS,Contagious Gaming Inc
CNX,Callinex Mines Inc
COCO,Coast Copper Corp.
COHO,Coho Collective Kitchens Inc
COLL.P,Collingwood Resources Corp
COO,Naturebank Asset Management Inc
COR,Camino Minerals Corp
CORE,Paycore Minerals Inc
COV,Covalon Technologies Ltd
CPAU,Copaur Minerals Inc
CPER,Coppercorp Resources Inc
CPL,Copper Lake Resources Ltd
CPR,Allied Copper Corp
CPS,Canadian Premium Sand Inc
CQR,Conquest Resources Ltd
CRAN.P,Cranstown Capital Corp
CRB,Cariboo Rose Resources Ltd
CRBK,Carebook Technolgies Inc
CRD,Copper Road Resources Inc
CRE,Critical Elements Lithium Corp
CRI,Churchill Resources Inc
CRSS.P,Crossover Acquisitions Inc
CRTS,Cortus Metals Inc
CSG.H,Cosigo Resources Ltd
CSL,Comstock Metals Ltd
CSO,Corsa Coal Corp
CSOC.A,Canso Select Opportunities Corp Class A
CSOC.B,Canso Select Opportunities Corp Class B
CSPN,Carespan Health Inc
CSTR,Cryptostar Corp
CSX,Clean Seed Capital Group Ltd
CT.P,Carbontech Capital Corp
CTA,Centaurus Energy Inc
CTEK,Cleantek Industries Inc
CTH,Cotec Holdings Corp
CTM,Canterra Minerals Corp
CTO,Circa Enterprises Inc
CTRL,Edge Total Intelligence Inc
CTZ,Namsys Inc
CUCO,African Energy Metals Inc
CUI,Currie Rose Resources Inc
CUR,Consolidated Uranium Inc
CUSN,Cornish Metals Inc
CUU,Copper Fox Metals Inc
CVB,Compass Gold Corp
CVI.P,Compass Venture Inc
CVV,Canalaska Uranium Ltd
CVW,Cvw Cleantech Inc
CVX,Cematrix Corp
CWC,Cwc Energy Services Corp
CWV,Crown Point Energy Inc
CYF,Canyon Creek Food CO Ltd
CYL,Ceylon Graphite Corp
CYM,Cymat Technologies Ltd
CYP,Cypress Development Corp
CZO,Ceapro Inc
CZZ,Cleghorn Minerals Ltd
DAC,Datable Technology Corp
DAN,Arianne Phosphate Inc
DAQ.P,Dominus Acquisition Corp
DAR,Darelle Online Solutions Inc
DAU,Desert Gold Ventures Inc
DB,Decibel Cannabis Company Inc
DB.WT.A,Decibel Cannabis CO Inc Wts A
DBG,Doubleview Gold Corp
DCMC,Dore Copper Mining Corp
DCOP,District Copper Corp
DCY,Discovery-Corp Enterprises Inc
DE,Decisive Dividend Corp
DEAL,Playgon Games Inc
DEC,Decade Resources Ltd
DEF,Defiance Silver Corp
DEFN,Defense Metals Corp
DELX,Delphx Capital Markets Inc
DEX,Almadex Minerals Ltd
DFR,Diamond Fields Resources Inc
DG,Dixie Gold Inc
DGHI,Digihost Technology Inc
DGL.P,Dgl Investments No 1 Inc
DGO,Durango Resources Inc
DGTL,Dgtl Holdings Inc
DHB,Delivra Health Brands Inc
DHR,Discovery Harbour Resources Corp
DIA,Margaret Lake Diamonds Inc
DIG.H,District Mines Ltd
DKL,Decklar Resources Inc
DLP,Dlp Resources Inc
DLTA,Delta Resources Ltd
DM,Datametrex Ai Ltd
DME,Desert Mountain Energy Corp
DMGI,Dmg Blockchain Solutions Inc
DMI,Diamcor Mining Inc
DMR,Damara Gold Corp
DMT,Small Pharma Inc
DMX,District Metals Corp
DOC,Cloudmd Software & Services Inc
DOS,Dios Exploration Inc
DSLV,Denarius Silver Corp
DSLV.WT,Denarius Silver Corp WT
DSM,Deep South Resources Inc
DSV,Discovery Silver Corp
DSY,Destiny Media Technologies Inc
DTG,Dynamic Technologies Group Inc
DV,Dolly Varden Silver Corp
DVG,Divergent Energy Services Corp
DVX.P,Drummond Ventures Corp
DWS,Diamond Estates Wines and Spirits Inc
DXI.H,Dxi Energy Inc
DYG,Dynasty Gold Corp
EAC,Earth Alive Clean Technologies Inc
EAM,East Africa Metals Inc
EAST,Eastwest Bioscience Inc
EAU,Engineer Gold Mines Ltd
EBM,Eastwood Bio Medical Canada Inc
ECAP.P,Endurance Capital Corp
ECCF.P,Ecc Ventures 4 Corp
ECCS.P,Ecc Ventures 6 Corp
ECM,Ecolomondo Corp
ECOM,Emerge Commerce Ltd
ECR,Cartier Resources Inc
ECU,Element 29 Resources Inc
EDDY,Edison Battery Metals Corp
EDG,Endurance Gold Corp
EDM,Edm Resources Inc
EDW.H,Edgewater Exploration Ltd
EDY,Eddy Smart Home Solutions Ltd
EFF,1844 Resources Inc
EFV,Ef Energyfunders Ventures Inc
EGA,Eagle Graphite Incorporated
EGM,Engold Mines Ltd
EGT,Eguana Technologies Inc
EKG,Cardiocomm Solutions Inc
ELBM,Electra Battery Metals Corp
ELC,Elysee Development Corp
ELE,Elemental Royalties Corp
ELEC,Electric Royalties Ltd
ELM,Element Lifestyle Retirement Inc
ELN,El Nino Ventures Inc
ELO,Eloro Resources Ltd
ELVT,Elevation Gold Mining Corp.
EMM,Giyani Metals Corp
EMM.WT,Giyani Metals Corp Wts
EMN,Euro Manganese Inc
EMNT,Eminent Gold Corp
EMO,Emerita Resources Corp
EMPR,Empress Royalty Corp
EMPR.WT,Empress Royalty Corp WT
EMR,Emergent Metals Corp
EMX,Emx Royalty Corp
ENA,Enablence Technologies Inc
ENDR,Enduro Metals Corp
ENEV,Enerev5 Metals Inc
ENRG,New Energy Metals Corp
ENTG,Entourage Health Corp
ENTG.WT.A,Entourage Health Corp
ENW,Enwave Corp
ENW.WT,Enwave Corp WT
EOG,Eco Atlantic Oil and Gas Ltd
EP,Empire Metals Corp
EPF,Everyday People Financial Corp
EPL,Eagle Plains Resources Ltd
EPO.H,Encanto Potash Corp
EQ,Eq Inc
EQTY,Equity Metals Corp
ERA,Elcora Advanced Materials Corp
ERC,Eros Resources Corp
ESE,Ese Entertainment Inc
ESGW,ESG Global Impact Capital Inc
ESK,Eskay Mining Corp
ESPN,Merida Minerals Inc
ESTW,Eastower Wireless Inc
ESX,Essex Minerals Inc
ETF,Eastfield Resources Ltd
ETL,E3 Lithium Ltd
ETU,E2Gold Inc
EU,Encore Energy Corp
EV,Erin Ventures Inc
EVER,Evergold Corp
EVGN,Evergen Infrastructure Corp
EVNI,Ev Nickel Inc
EVX,European Electric Metals Inc
EW,East West Petroleum Corp
EWK,Earthworks Industries Inc
EWS,Environmental Waste International Inc
EXG,Exgen Resources Inc
FA,Fountain Asset Corp
FAIR,Fairchild Gold Corp
FARM,Deveron Corp
FARM.WT,Deveron Corp Wts
FBF,Fab-Form Industries Ltd
FCA.DB,Firm Cap Amer Rty Prn Corp 6.75 Pct Debs
FCA.U,Firm Capital Apartment Real Estate
FCA.UN,Firm Capital Apartment Real Estate
FCO,Fabled Silver Gold Corp
FD,Facedrive Inc
FDI,Findev Inc
FDR,Founders Metals Inc
FEO,Oceanic Iron Ore Corp
FEX,Fjordland Exploration Inc
FFOX,Firefox Gold Corp
FG,Falcon Gold Corp
FGC,Frontline Gold Corp
FHYD,First Hydrogen Corp
FI.H,First Idaho Resources Inc
FIND,Baselode Energy Corp
FISH,Sailfish Royalty Corp
FKM,Fokus Mining Corp
FL,Frontier Lithium Inc
FLT,Drone Delivery Canada Corp
FLT.WT.B,Drone Delivery Canada Corp WT B
FLWR,The Flowr Corp
FLY,Flyht Aerospace Solutions Ltd
FLYN,Flying Nickel Mining Corp
FMAN,Freeman Gold Corp
FMC,Forum Energy Metals Corp
FMM,Full Metal Minerals Ltd
FMN,Fidelity Minerals Corp
FMS,Focus Graphite Inc
FNC,Fancamp Exploration Ltd
FNR,49 North Resources Inc
FO,Falcon Oil & Gas Ltd
FOBI,Fobi Ai Inc
FOM,Foran Mining Corp
FOR,Fortune Bay Corp
FOXG,Royal Fox Gold Inc
FP,Fp Newspapers Inc
FPC,Falco Resources Ltd
FPX,Fpx Nickel Corp
FRDY,Fridays Dog Holdings Inc
FRE,Fremont Gold Ltd
FRED,Fredonia Mining Inc
FREQ,Frequency Exchange Corp
FRI,Freeport Resources Inc
FRNT,Frnt Financial Inc
FRS.P,Farstarcap Investment Corp
FRXI,Frx Innovations Inc
FSX,Fosterville South Exploration Ltd
FTEC,Fintech Select Ltd
FTHW,Field Trip Health & Wellness Ltd.
FTI,Fti Foodtech International Inc
FTJ,Fort ST James Nickel Corp
FUN.P,Fountainhall Capital Corp
FUND,Katipult Technology Corp
FUSE,Fuse Cobalt Inc
FUU,Fission 3.0 Corp
FV.H,Firestone Ventures Inc
FW,Flow Capital Corp
FWTC,Forward Water Technologies Corp
FWZ,Fireweed Metals Corp
FYL,Finlay Minerals Ltd
GA,General Assembly Holdings Ltd
GAL,Galantas Gold Corp
GAME,Engine Gaming and Media Inc
GAR.H,Green Arrow Resources Inc
GASX,Ng Energy Intl Corp
GASX.DB,Ng Energy International Corp 8 Pct Debs
GBLT,Gblt Corp
GBML,Global Battery Metals Ltd
GBRC,Gold Bull Resources Corp
GBRR,Great Bear Royalties Corp
GBU,Gabriel Res J
GCC,Golden Cariboo Resources Ltd
GCN,Goldcliff Resource Corp
GCX,Granite Creek Copper Ltd
GDM,Goldstar Minerals Inc
GDNP,Good Natured Products Inc
GDNP.DB,Good Natured Products Inc 7 Pct Debs
GDP,Golden Pursuit Resources Ltd
GDX,Goldex Resources Corp
GEL,Graphano Energy Ltd
GEM,Green Battery Minerals Inc
GEMC,Global Energy Metals Corp
GENI,Genius Metals Inc
GENX,Genix Pharmaceuticals Corp
GER,Glen Eagle Resources Inc
GETT,G.E.T.T. Gold Inc
GFG,Gfg Resources Inc
GG,Galane Gold Ltd
GGAU,Gambier Gold Corp
GGG,G6 Materials Corp
GGI,Garibaldi Resources Corp
GGL,Ggl Resources Corp
GGM,Granada Gold Mine Inc
GGO,Galleon Gold Corp
GGX,Ggx Gold Corp
GHL,Goldhills Holding Ltd
GHR,Golden Harp Resources Inc
GIG,Xau Resources Inc
GIGA,Giga Metals Corp
GIGA.WT,Giga Metals Corp WT
GIGA.WT.A,Giga Metals Corporation
GIII,Regen III Corp
GIP,Green Impact Partners Inc
GIT,Gitennes Exploration Inc
GKO,Geekco Technologies Corp
GLAD,Gladiator Metals Corp
GLB,Goldbank Mining Corp
GLD,Goldon Resources Ltd
GLDC,Cassiar Gold Corp
GLDL,Gold Line Resources Ltd
GLDN,Golden Ridge Resources Ltd
GLI,Glacier Lake Resources Inc
GLW,Galway Gold Inc
GMA,Geomega Resources Inc
GMG,Graphene Manufacturing Group Ltd
GMG.WT,Graphene Manufacturing Group Ltd Wts
GMIN,G Mining Ventures Corp
GMN,Gobimin Inc
GMV,Gmv Minerals Inc
GNG,Golden Goliath Resources Ltd
GNT,Gentor Resources Inc
GOE,Goldeneye Resources Corp
GOFL,Goldflare Exploration Inc
GOG,Golden Tag Resources Ltd
GOK,Ginsms Inc
GOM,Golden Dawn Minerals Inc
GOOD,Good Gamer Entertainment Inc
GOP.H,Gourmet Ocean Products Inc
GOST,Gold State Resources Inc
GOT,Goliath Resources Ltd
GPG,Grande Portage Resources Ltd
GPH,Graphite One Inc
GPM,Gpm Metals Inc
GPV,Greenpower Motor Company Inc
GQ,Great Quest Fertilizer Ltd
GQC,Goldquest Mining Corp
GR,Great Atlantic Resources Corp
GRAT,Gratomic Inc
GRB,Greenbriar Capital Corp
GRD,Grounded Lithium Corp
GRDM,Grid Metals Corp
GRF,Green Rise Foods Inc
GRG,Golden Arrow Res Corp
GRI,Galore Resources Inc
GROW,Co2 Gro Inc
GRSL,Gr Silver Mining Ltd
GRVA.P,Grosvenor Cpc I Inc
GRZ,Gold Reserve Inc
GSD,Devonian Health Group Inc
GSH,Golden Share Resources Corp
GSHR,Goldshore Resources Inc
GSI,Gatekeeper Systems Inc
GSP,Gensource Potash Corp
GSPR,Gsp Resource Corp
GSS,Gossan Resources Ltd
GSVR,Guanajuato Silver CO Ltd
GTC,Getty Copper Inc
GTWO,G2 Goldfields Inc
GUF,Gulf & Pacific Equities Corp
GUG,Gungnir Resources Inc
GUN,Gunpoint Exploration Ltd
GUS,Angus Gold Inc
GVR,Grosvenor Resources Corp
GWA,Gowest Gold Ltd
GWM,Galway Metals Inc
GX,Guardian Exploration Inc
GXS,Goldsource Mines Inc
GXU,Goviex Uranium Inc
GXX,Gold Basin Resources Corp
GYM,Tut Fitness Group Inc
GZD,Grizzly Discoveries Inc
HAM,Highwood Asset Management Ltd
HAN,Hannan Metals Ltd
HANK,Nobelium Tech Corp
HANS,Hanstone Gold Corp
HAPB,Hapbee Technologies Inc
HAR,Harfang Exploration Inc
HAWK,Hawkeye Gold and Diamond Inc
HBK,Highbank Resources Ltd.
HCH,Hot Chili Limited
HE.H,Hanwei Energy Services Corp
HELI,First Helium Inc
HEM,Hemostemix Inc
HEVI,Helium Evolution Incorporated
HFC,Hampton Financial Corp
HFC.PR.A,Hampton Financial Corp Pref A
HI,Highland Copper Company Inc
HIDE.P,Hydaway Ventures Corp
HIGH,Highgold Mining Inc
HIH,Hylands International Hldg Inc
HILL,Hill Street Beverage Company Inc
HILO,Hilo Mining Ltd.
HIRE,Hire Technologies Inc
HITI,High Tide Inc
HITI.WR,High Tide Inc Wr
HITI.WT,High Tide Inc WT
HIVE,Hive Blockchain Technologies Inc
HIVE.WT,Hive Blockchain Technologies Ltd Wts
HMAN,Huntsman Exploration Inc
HMCC.P,High Mountain 2 Capital Corp
HME,Hemisphere Energy Corp
HMLO,Hemlo Explorers Inc
HMPG,The Hempshire Group Inc
HMR,Homerun Resources Inc
HMRK,Highmark Interactive Inc
HMT,Halmont Properties Corp
HO.P,H2 Ventures 1 Inc
HOC,Hunter Technology Corp
HPL.H,Horizon Petroleum Ltd
HPQ,Hpq Silicon Inc.
HPY,Happy Creek Minerals Ltd
HRE.H,Stans Energy Corp
HSTR,Heliostar Metals Ltd
HTC,Htc Purenergy Inc
HTL,Hamilton Thorne Ltd
HUD,Hudson Resources Inc
HULK,Pontus Protein Ltd
HVG,Harvest Gold Corp
HVT,Harvest One Cannabis Inc
HVT.WT,Harvest One Cannabis Inc WT
HWY,Highway 50 Gold Corp
HX,Dajin Lithium Corp
IB,Ibc Advanced Alloys Corp
IBO,Universal Ibogaine Inc
IBT,Ibex Technologies Inc
ICM,Iconic Minerals Ltd
ICON,Intl Iconic Gold Exploration Corp.
ICPH,Icpei Holdings Inc
ID,Identillect Technologies Corp
IDL,Imaging Dynamics Company Ltd
IEI,Imperial Equities Inc
IFOS,Itafos
IFX,Imaflex Inc
IGO,Independence Gold Corp
IGP,Imperial Ginseng Products Ltd
ILC,International Lithium Corp
ILI,Infinite Ore Corp
IMA,I-Minerals Inc
IMIN,Imining Technologies Inc
IMR,Imetal Resources Inc
INCA,Inca One Gold Corp
INEO,Ineo Tech Corp
INFD,Infield Minerals Corp
INFI,Infinitum Copper Corp
INTR,Intrepid Metals Corp
INX,Intouch Insight Ltd
ION,ION Energy Ltd
IOT,Innovotech Inc
IOU,Iou Financial Inc
IPA,Immunoprecise Antibodies Ltd
IPG,Imperial Mining Group Ltd
IPT,Impact Silver Corp
IQ,Airiq Inc
IRI,Iemr Resources Inc
IRO,Inter-Rock Minerals Inc
ISD,Isign Media Solutions Inc
ISGI,Insuraguest Technologies Inc
ISO,Isoenergy Ltd
ITR,Integra Resources Corp
IVF.H,Invictus Financial Inc
IVS,Inventus Mining Corp
IVX,Inventronics Ltd
IXI,Indigo Exploration Inc
IZ,International Zeolite Corp
IZN,Inzinc Mining Ltd
IZZ,International Prospect Ventures Ltd
JADE,Jade Leader Corp
JAEG,Jaeger Resources Corp
JAX,Jaxon Mining Inc
JDN,Jayden Resources Inc
JE.H,Just Energy Group Inc
JES.P,Jesmond Capital Ltd
JEV,Jericho Energy Ventures Inc
JG,Japan Gold Corp
JJ,Jackpot Digital Inc
JJ.WT.B,Jackpot Digital Inc WT B
JJ.WT.C,Jackpot Digital Inc WT C
JJJJ.P,J4 Ventures Inc
JK,Just Kitchen Holdings Corp
JNH,Jack Nathan Medical Corp
JOR,Jourdan Resources Inc
JPIM,Jasper Commerce Inc
JPWR.UN,Jade Power Trust
JRV,Jervois Mining Ltd
JSP,Jasper Mining Corporation
JTC,Jemtec Inc
JTR,Greenspace Brands Inc
JUGR,Juggernaut Exploration Ltd
JUMP,Leveljump Healthcare Corp
JUMP.WT,Leveljump Healthcare Corp WT
JZR,Jazz Resources Inc
KAC.P,Kalon Acquisition Corp
KALO,Kalo Gold Corp
KAPA,Kapa Gold Inc
KC,Kutcho Copper Corp
KCC,Kincora Copper Ltd
KDA,Kda Group Inc
KDK,Kodiak Copper Corp
KDSX,Kadestone Capital Corp
KEN,Kenadyr Mining Holdings Corp
KES,Kesselrun Resources Ltd
KFR,Kingfisher Metals Corp
KG,Klondike Gold Corp
KGC,Kestrel Gold Inc
KGL.H,Kgl Resources Ltd.
KGS,Kingsman Minerals Ltd
KHRN,Khiron Life Sciences Corp
KHRN.WT,Khiron Life Sciences Corp WT
KIB,Kiboko Gold Inc
KIDZ,Kidoz Inc
KING,King Global Ventures Inc
KIP,Kiplin Metals Inc
KLD,Kenorland Minerals Ltd
KLE.H,Kingsland Energy Corp.
KLM,Kermode Resources Ltd
KLX,Earl Resources Limited
KNC,K9 Gold Corp
KNE,Kane Biotech Inc
KNG,Kingsmen Resources Ltd
KO,Kiaro Holdings Corp
KORE,Kore Mining Ltd
KOVO,Kovo Healthtech Corp
KRL,Kainantu Resources Ltd
KS,Klondike Silver Corp
KSUM.H,Alset Capital Inc
KTN,Kootenay Silver Inc
KTO,K2 Gold Corp
KTR,Kintavar Exploration Inc
KUB,Cub Energy Inc
KUR.H,Kure Technologies Inc
KUT,Redishred Capital Corp
KUU,Kuuhubb Inc
KWE,Kwesst Micro Systems Inc
KYS.H,Kaymus Resources Inc
KZD,Kaizen Discovery Inc
LA,Los Andes Copper Ltd
LAB,Labrador Gold Corp
LBC,Libero Copper & Gold Corp
LBI,Lions Bay Capital Inc
LBNK,Lithiumbank Resources Corp
LBNK.WT,Lithiumbank Resources Corp
LDI,Lithoquest Resources Inc
LEM,Leading Edge Materials Corp
LEO,Lion Copper & Gold Corp
