Co_ID;PO ID;Exchange;Name;" Root
Ticker "; MarketCap ; OutstandingShares ;Sector; Sub-Sector ;"HQ
Location";"HQ
Region";Listing Type;Listing Date;Interlisted;OTC;CPC;CompositeIndex;2024 Venture 50;USA City;Asia Region;Israel Related;Clean Technology Primary Industry;Cleantech Sub-Sector;"Consumer Products & Services
Sub-Sector"; Life Sciences Sub-Sector ; Real Estate Sub-Sector ; Technology Sub-Sector ;Trust; Volume ; Value ; Trades ; MonthsTrading 
V-03080;1128640;TSXV;Colonial Coal International Corp.;CAD; 390 672 310 ; 181 708 051 ;Mining;;BC;Canada;QT;20101012;;;Y;Y;;;;;;;;;;;; 24 794 770 ; 61 851 558 ; 33 674 ;11
V-04909;1186290;TSXV;Colossus Resources Corp.;CLUS; 1 743 182 ; 15 158 100 ;Mining;;BC;Canada;IPO;20220804;;;;;;;;;;;;;;;; 950 143 ; 141 065 ; 135 ;11
V-02505;1112704;TSXV;Coloured Ties Capital Inc.;TIE; 3 924 560 ; 17 442 491 ;Financial Services;;ON;Canada;RTO;20210825;;;Y;;;;;;;;;;;;; 1 145 824 ; 340 931 ; 318 ;9
V-00441;18104;TSXV;Comet Industries Ltd.;CMU; 23 626 037 ; 5 136 095 ;Real Estate;;BC;Canada;;;;;;;;;;;;;;; Real Estate Development and Services ;;; 129 920 ; 560 042 ; 87 ;11
V-04210;1168410;TSXV;Comet Lithium Corporation;CLIC; 5 169 164 ; 26 508 534 ;Mining;;QC;Canada;Other;20140703;;;;;;;;;;;;;;;; 5 593 209 ; 1 676 642 ; 1 232 ;11
V-00442;31453;TSXV;Commander Resources Ltd.;CMD; 3 542 794 ; 44 284 931 ;Mining;;BC;Canada;;;;;;;;;;;;;;;;;; 9 643 918 ; 711 658 ; 607 ;11
V-00443;1073517;TSXV;Commerce Resources Corp.;CCE; 16 011 724 ; 200 146 555 ;Mining;;BC;Canada;;;;OTCQX;;;;;;;;;;;;;; 17 522 906 ; 2 106 726 ; 1 798 ;11
V-01393;1023898;TSXV;Compass Gold Corporation;CVB; 15 595 567 ; 103 970 446 ;Mining;;BC;Canada;RTO from NEX;20171130;;;;;;;;;;;;;;;; 4 926 216 ; 673 940 ; 429 ;11
V-04686;1183870;TSXV;Compass Venture Inc.;CVI.P; 636 200 ; 10 603 325 ;CPC;;Singapore;Asia;IPO/CPC;20210121;;;Y;;;;Singapore;;;;;;;;;;;;
V-02957;1120725;TSXV;Composite Alliance Group Inc.;CAG; 1 653 504 ; 110 233 610 ;Industrial Products & Services;;AB;Canada;RTO from NEX;20190215;;;Y;;;;;;;;;;;;; 548 869 ; 20 556 ; 75 ;10
V-04555;1181730;TSXV;Comprehensive Healthcare Systems Inc.;CHS; 1 240 235 ; 124 023 502 ;Life Sciences;;NJ;USA;QT;20211015;;;Y;;;Edison;;;;;; Healthcare Technology ;;;; 17 142 143 ; 257 447 ; 419 ;8
V-5031;1188321;TSXV;Conavi Medical Corp.;CNVI; 25 222 549 ; 44 250 086 ;Life Sciences;;ON;Canada;Other;20241016;;;;;;;;;;;; Healthcare Facilities and Equipment ;;;; 352 429 ; 341 073 ; 546 ;2
V-02269;1104436;TSXV;Condor Resources Inc.;CN; 17 644 351 ; 141 154 808 ;Mining;;BC;Canada;Other;20060303;;;;;;;;;;;;;;;; 21 420 990 ; 3 871 948 ; 3 924 ;11
V-05003;1187000;TSXV;Coniagas Battery Metals Inc.;COS; 2 268 751 ; 30 250 010 ;Mining;;BC;Canada;Other;20240318;;;;;;;;;;;;;;;; 2 558 356 ; 313 881 ; 1 123 ;9
V-00448;1061422;TSXV;Conquest Resources Limited;CQR; 2 705 542 ; 135 277 106 ;Mining;;ON;Canada;;;;;;;;;;;;;;;;;; 6 026 628 ; 162 309 ; 334 ;11
V-00455;29551;TSXV;Consolidated Firstfund Capital Corp.;FFP; 1 234 341 ; 6 171 703 ;Real Estate;;BC;Canada;;;;;;;;;;;;;;; Real Estate Operating Companies ;;; 10 829 ; 2 157 ; 5 ;2
V-01051;1074388;TSXV;Consolidated Lithium Metals Inc.;CLM; 3 683 173 ; 368 317 266 ;Mining;;ON;Canada;;;;OTCQB;;;;;;;;;;;;;; 91 319 757 ; 1 924 576 ; 2 574 ;11
V-04969;1187266;TSXV;Constellation Capital Corp.;CNST.P; 480 000 ; 12 000 000 ;CPC;;AB;Canada;IPO/CPC;20230720;;;Y;;;;;;;;;;;;; 235 100 ; 16 710 ; 25 ;9
V-01085;15624;TSXV;Contagious Gaming Inc.;CNS; 471 104 ; 94 220 745 ;Technology;Gaming;ON;Canada;RTO;20140923;;;;;;;;;;;;;; Software ;; 2 857 303 ; 55 783 ; 204 ;7
V-01015;31077;TSXV;CopAur Minerals Inc.;CPAU; 6 505 843 ; 61 960 409 ;Mining;;BC;Canada;;;;OTCQX;;;;;;;;;;;;;; 13 109 346 ; 2 877 730 ; 2 964 ;11
V-00481;1094937;TSXV;Copper Fox Metals Inc.;CUU; 159 227 281 ; 558 692 213 ;Mining;;AB;Canada;QT;20050721;;OTCQX;Y;Y;;;;;;;;;;;; 45 056 146 ; 15 194 564 ; 12 806 ;11
V-00191;42352;TSXV;Copper Lake Resources Ltd.;CPL; 1 352 519 ; 270 503 770 ;Mining;;BC;Canada;;;;;;;;;;;;;;;;;; 46 064 011 ; 860 077 ; 1 259 ;11
V-02178;1093376;TSXV;Copper Road Resources Inc.;CRD; 1 625 408 ; 65 016 316 ;Mining;;ON;Canada;QT;20040916;;;Y;;;;;;;;;;;;; 19 671 753 ; 527 665 ; 736 ;11
V-04832;1185842;TSXV;CopperCorp Resources Inc.;CPER; 18 489 175 ; 85 996 162 ;Mining;;BC;Canada;IPO;20220111;;OTCQB;;;;;;;;;;;;;; 42 888 036 ; 4 009 698 ; 3 783 ;11
V-04772;1185091;TSXV;CopperEx Resources Corporation;CUEX; 4 366 202 ; 29 108 014 ;Mining;;BC;Canada;QT;20240214;;;Y;;;;;;;;;;;;; 4 487 264 ; 1 534 475 ; 997 ;10
V-03662;1138681;TSXV;Cordoba Minerals Corp.;CDB; 34 167 733 ; 89 915 086 ;Mining;;ON;Canada;IPO;20101014;;OTCQB;;;;;;;;;;;;;; 2 309 647 ; 1 013 580 ; 691 ;11
V-01886;27836;TSXV;Cornish Metals Inc.;CUSN; 77 614 253 ; 535 270 712 ;Mining;;BC;Canada;;;AIM;;;;;;;;;;;;;;; 96 787 748 ; 11 395 718 ; 4 762 ;11
V-02787;1117220;TSXV;Corsa Coal Corp.;CSO; 26 990 993 ; 103 811 512 ;Mining;;PA;USA;RTO;20101213;;OTCQX;;;;Friedens;;;;;;;;;; 13 371 211 ; 4 159 037 ; 2 678 ;11
V-04985;1187800;TSXV;Cosa Resources Corp.;COSA; 12 815 981 ; 56 959 914 ;Mining;;BC;Canada;Other;20231018;;OTCQB;;;;;;;;;;;;;; 25 870 142 ; 9 784 326 ; 8 052 ;11
V-01173;30994;TSXV;CoTec Holdings Corp.;CTH; 35 773 766 ; 71 547 531 ;Financial Services;Mining Services;BC;Canada;RTO;20091204;;OTCQB;;;Y;;;;;;;;;;; 2 591 449 ; 1 447 315 ; 1 021 ;11
V-00494;1096521;TSXV;Covalon Technologies Ltd.;COV; 100 002 981 ; 27 398 077 ;Life Sciences;;ON;Canada;;;;OTCQX;Y;;;;;;;;; Biotechnology ;;;; 4 062 630 ; 11 295 430 ; 4 700 ;11
V-04758;1185112;TSXV;Cranstown Capital Corp.;CRAN.P; 84 040 ; 8 404 000 ;CPC;;ON;Canada;IPO/CPC;20210708;;;Y;;;;;;;;;;;;;;;;
V-01808;1023775;TSXV;Criterium Energy Ltd.;CEQ; 10 724 552 ; 134 056 903 ;Oil & Gas;;AB;Canada;;;;;;;;;;;;;;;;;; 29 255 412 ; 2 207 361 ; 1 845 ;11
V-02461;1111955;TSXV;Critical Elements Lithium Corporation;CRE; 89 318 024 ; 217 848 838 ;Mining;;QC;Canada;Other;20070222;;OTCQX;;Y;;;;;;;;;;;; 38 599 483 ; 24 009 561 ; 14 600 ;11
V-00506;13387;TSXV;Crown Point Energy Inc.;CWV; 4 009 667 ; 72 903 038 ;Oil & Gas;;BC;Canada;;;;;;;;;;;;;;;;;; 276 306 ; 19 372 ; 126 ;9
V-04339;1179390;TSXV;Cryptostar Corp.;CSTR; 13 317 296 ; 443 909 869 ;Technology;Blockchain/Cryptocurrency;ON;Canada;QT;20181002;;OTCQB;Y;;;;;;;;;;; Fintech ;; 120 849 142 ; 5 169 228 ; 7 830 ;11
V-04581;1187950;TSXV;CubicFarm Systems Corp.;CUB; 7 897 914 ; 39 489 571 ;Technology;Agriculture;BC;Canada;TSX Comedown;20231219;;;;;;;;;;;;;; Hardware & Equipment ;; 6 136 191 ; 1 370 518 ; 1 500 ;6
V-05021;1188330;TSXV;Culico Metals Inc.;CLCO; 6 688 040 ; 55 733 665 ;Mining;;ON;Canada;Other;20240816;;;;;;;;;;;;;;;; 22 950 448 ; 2 584 265 ; 5 054 ;4
V-00638;1062291;TSXV;Current Water Technologies Inc.;WATR; 5 306 876 ; 212 275 038 ;Clean Technology & Renewable Energy;;ON;Canada;;;;;;;;;;;Industrial Products & Services;Waste Reduction and Water Management;;;;;; 30 731 287 ; 934 967 ; 1 462 ;11
V-04680;1184365;TSXV;Cuspis Capital II Ltd.;CCII.P; 125 000 ; 12 500 000 ;CPC;;ON;Canada;IPO/CPC;20201211;;;Y;;;;;Y;;;;;;;; 76 201 ; 3 720 ; 8 ;2
V-01979;1078346;TSXV;CVW Cleantech Inc.;CVW; 125 899 664 ; 144 712 258 ;Clean Technology & Renewable Energy;;AB;Canada;;20011001;;;;Y;;;;;Mining;Low Impact Material and Products;;;;;; 10 350 575 ; 8 215 885 ; 2 522 ;11
V-04774;1185346;TSXV;CyberCatch Holdings, Inc.;CYBE; 739 982 ; 5 692 168 ;Technology;;CA;USA;QT;20230424;;;Y;;;San Diego;;;;;;;; Software ;; 11 221 633 ; 407 570 ; 1 332 ;11
V-04157;1062273;TSXV;Cymat Technologies Ltd.;CYM; 5 538 861 ; 55 388 611 ;Industrial Products & Services;;ON;Canada;TSX Comedown;20131021;;OTCQB;;;;;;;;;;;;;; 6 630 701 ; 1 039 538 ; 1 715 ;11
V-04842;1186116;TSXV;Cytophage Technologies Ltd.;CYTO; 16 450 242 ; 53 935 221 ;Life Sciences;;MB;Canada;QT;20240209;;;Y;;;;;;;;; Biotechnology ;;;; 15 959 637 ; 6 672 594 ; 3 607 ;10
V-00525;25220;TSXV;D2 Lithium Corp.;DTWO; 1 086 954 ; 36 231 804 ;Mining;;BC;Canada;;20050119;;OTCQB;;;;;;;;;;;;;; 4 238 485 ; 156 723 ; 396 ;11
V-02333;1104706;TSXV;Darelle Online Solutions Inc.;DAR; 368 541 ; 2 456 938 ;Technology;Gaming;BC;Canada;QT;20071102;;;Y;;;;;;;;;;; Internet Software & Services ;; 5 652 163 ; 74 615 ; 225 ;11
V-04061;1151746;TSXV;Datable Technology Corporation;DAC; 110 536 ; 22 107 251 ;Technology;;BC;Canada;QT;20141110;;;Y;;;;;;;;;;; Software ;; 11 481 398 ; 58 289 ; 265 ;7
V-03912;1150876;TSXV;Datametrex AI Limited;DM; 3 094 901 ; 618 980 158 ;Technology;;ON;Canada;QT from NEX;20170612;;OTCQB;Y;;;;;;;;;;; Hardware & Equipment ;; 205 441 982 ; 2 605 019 ; 5 995 ;11
V-04599;1182295;TSXV;Daura Capital Corp.;DUR.P; 317 460 ; 7 054 668 ;CPC;;BC;Canada;IPO/CPC;20190917;;;Y;;;;;;;;;;;;; 236 669 ; 14 304 ; 53 ;5
V-04955;1187290;TSXV;DAVIDsTEA Inc.;DTEA; 10 915 884 ; 26 624 108 ;Consumer Products & Services;;QC;Canada;Other;20230403;;;;;;;;;;;Consumer Discretionary;;;;; 5 065 381 ; 1 399 041 ; 1 822 ;11
V-02689;1113868;TSXV;Decade Resources Ltd.;DEC; 4 484 644 ; 128 132 690 ;Mining;;BC;Canada;IPO;20071218;;;;;;;;;;;;;;;; 45 922 167 ; 2 731 832 ; 2 676 ;11
V-00948;718451;TSXV;Decibel Cannabis Company Inc.;DB; 28 765 290 ; 442 542 930 ;Consumer Products & Services;Cannabis;AB;Canada;RTO from NEX;20190109;;OTCQB;;;;;;;;;Consumer Discretionary;;;;; 47 430 616 ; 4 052 501 ; 4 728 ;11
V-04149;1164225;TSXV;Decisive Dividend Corporation;DE; 125 733 174 ; 19 676 553 ;Financial Services;;BC;Canada;QT;20150313;;;Y;Y;Y;;;;;;;;;;; 6 010 951 ; 44 070 909 ; 22 307 ;11
V-00148;1091377;TSXV;Decklar Resources Inc.;DKL; 1 824 843 ; 91 242 152 ;Oil & Gas;;ON;Canada;;20040419;;OTCQX;;;;;;;;;;;;;; 17 923 931 ; 807 263 ; 911 ;7
V-02833;1117857;TSXV;DeepMarkit Corp.;MKT; 679 419 ; 12 353 069 ;Technology;;AB;Canada;QT;20091215;;OTCQB;Y;;;;;;;;;;; Internet Software & Services ;; 2 529 103 ; 190 095 ; 310 ;11
V-04400;1179545;TSXV;Defense Metals Corp.;DEFN; 24 721 019 ; 260 221 249 ;Mining;;BC;Canada;IPO;20180119;;OTCQB;;;;;;;;;;;;;; 32 919 904 ; 5 785 904 ; 6 055 ;11
V-02819;1118104;TSXV;Defiance Silver Corp.;DEF; 60 328 242 ; 274 219 281 ;Mining;;BC;Canada;QT;20090811;;OTCQX;Y;Y;;;;;;;;;;;; 99 559 256 ; 23 840 142 ; 23 433 ;11
V-03084;1127835;TSXV;Delivra Health Brands Inc.;DHB; 5 627 121 ; 312 617 854 ;Life Sciences;Cannabis;BC;Canada;QT from NEX;20170428;;OTCQB;Y;;;;;;;;; Medical Marijuana ;;;; 29 964 980 ; 900 138 ; 2 628 ;11
V-04376;1179320;TSXV;DelphX Capital Markets Inc.;DELX; 20 892 448 ; 181 673 462 ;Technology;Blockchain/Cryptocurrency;ON;Canada;QT;20180427;;OTCQB;Y;;;;;;;;;;; Fintech ;; 8 965 536 ; 1 082 841 ; 1 875 ;11
V-00828;1062313;TSXV;Delta Resources Limited;DLTA; 20 515 049 ; 132 355 155 ;Mining;;QC;Canada;;;;;;;;;;;;;;;;;; 30 328 707 ; 3 984 241 ; 4 392 ;11
V-04921;1186675;TSXV;Departure Bay Capital Corp.;DBC.P; 472 500 ; 4 500 000 ;CPC;;BC;Canada;IPO/CPC;20221026;;;Y;;;;;;;;;;;;; 98 002 ; 8 460 ; 13 ;7
V-00542;1096190;TSXV;Desert Gold Ventures Inc.;DAU; 16 845 087 ; 240 644 099 ;Mining;;BC;Canada;RTO;20120518;;OTCQB;;;;;;;;;;;;;; 34 812 505 ; 2 477 559 ; 983 ;11
V-02910;1119830;TSXV;Desert Mountain Energy Corp.;DME; 25 723 561 ; 90 258 109 ;Oil & Gas;;BC;Canada;Other;20081016;;OTCQX;;;;;;;;;;;;;; 8 360 041 ; 2 397 674 ; 4 141 ;11
V-03652;1116662;TSXV;Destiny Media Technologies Inc.;DSY; 9 789 320 ; 9 789 320 ;Technology;;BC;Canada;Other;20101012;;OTCQB;;;;;;;;;;;; Internet Software & Services ;; 290 826 ; 398 997 ; 367 ;11
V-04662;1180410;TSXV;Deveron Corp.;FARM; 8 309 224 ; 207 730 603 ;Technology;Agriculture;ON;Canada;Other;20200921;;;;;;;;;;;;;; Software ;; 18 510 221 ; 1 709 228 ; 1 094 ;11
V-04218;1170025;TSXV;Devonian Health Group Inc.;GSD; 26 680 056 ; 148 222 531 ;Life Sciences;;QC;Canada;QT;20170519;;OTCQB;Y;;;;;;;;; Pharmaceuticals ;;;; 1 655 787 ; 262 830 ; 314 ;11
V-04124;1009834;TSXV;DFR Gold Inc.;DFR; 7 109 890 ; 203 139 700 ;Mining;;BC;Canada;TSX Comedown;20130521;;;;;;;;;;;;;;;; 10 281 736 ; 352 048 ; 559 ;11
V-04769;1185361;TSXV;DGL Investments No. 1 Inc.;DGL.P; 100 000 ; 5 000 000 ;CPC;;BC;Canada;IPO/CPC;20210826;;;Y;;;;;;;;;;;;;;;;
V-04590;1182585;TSXV;DGTL Holdings Inc.;DGTL; 229 398 ; 5 097 727 ;Financial Services;;NY;USA;QT;20200804;;;Y;;;New York;;;;;;;;;; 7 081 051 ; 79 782 ; 414 ;10
V-00550;1064895;TSXV;DIAGNOS Inc.;ADK; 26 641 330 ; 95 147 608 ;Technology;;QC;Canada;;;;OTCQB;;;Y;;;;;;;;; IT Consulting & Services ;; 21 433 220 ; 6 875 711 ; 7 479 ;11
V-00551;26224;TSXV;Diamcor Mining Inc.;DMI; 5 902 363 ; 168 638 937 ;Mining;;BC;Canada;;;;OTCQB;;;;;;;;;;;;;; 11 949 744 ; 582 893 ; 1 410 ;11
V-03981;1154345;TSXV;Diamond Estates Wines & Spirits Inc.;DWS; 12 797 699 ; 59 524 183 ;Consumer Products & Services;;ON;Canada;QT;20131003;;;Y;;;;;;;;Consumer Discretionary;;;;; 5 848 888 ; 1 399 211 ; 1 467 ;11
V-04392;1180620;TSXV;Digihost Technology Inc.;DGHI; 94 413 176 ; 33 011 600 ;Technology;Blockchain/Cryptocurrency;BC;Canada;RTO;20200220;NasdaqCM;;;;Y;;;;;;;;; Fintech ;; 4 389 867 ; 9 439 517 ; 17 314 ;11
V-04910;1185275;TSXV;Dinero Ventures Ltd.;DNO; 2 683 333 ; 26 833 332 ;Mining;;BC;Canada;IPO;20220810;;;;;;;;;;;;;;;; 72 500 ; 8 120 ; 14 ;9
V-00557;1080961;TSXV;Dios Exploration Inc.;DOS; 1 819 231 ; 121 282 066 ;Mining;;QC;Canada;;;;;;;;;;;;;;;;;; 17 361 371 ; 504 710 ; 721 ;11
V-03151;1133975;TSXV;Discovery Harbour Resources Corp.;DHR; 1 061 322 ; 14 150 962 ;Mining;;BC;Canada;RTO;20130403;;;Y;;;;;;;;;;;;; 1 197 208 ; 112 162 ; 178 ;11
V-00562;20993;TSXV;Discovery-Corp Enterprises Inc.;DCY; 610 855 ; 12 217 096 ;Mining;;BC;Canada;;;;;;;;;;;;;;;;;;;;;
V-00368;1092236;TSXV;District Copper Corp.;DCOP; 815 296 ; 23 294 161 ;Mining;;BC;Canada;;;;;;;;;;;;;;;;;; 2 241 203 ; 98 898 ; 326 ;11
V-00458;1023857;TSXV;District Metals Corp.;DMX; 49 615 033 ; 130 565 877 ;Mining;;BC;Canada;;;;OTCQB;;;;;;;;;;;;;; 51 860 163 ; 17 566 123 ; 15 560 ;11
V-03926;1154355;TSXV;Dixie Gold Inc.;DG; 1 428 173 ; 31 737 188 ;Mining;;BC;Canada;Other;20111222;;;;;;;;;;;;;;;; 5 340 972 ; 317 277 ; 506 ;11
V-03911;1150405;TSXV;DLC Holdings Corp.;DLC; 145 167 ; 29 033 375 ;Consumer Products & Services;;BC;Canada;QT;20140428;;;Y;;;;;;;;Consumer Staples;;;;; 205 738 ; 11 905 ; 33 ;4
V-04429;1180915;TSXV;DLP Resources Inc.;DLP; 27 170 407 ; 120 757 365 ;Mining;;BC;Canada;QT;20191122;;OTCQB;Y;;;;;;;;;;;;; 10 503 086 ; 3 017 991 ; 2 485 ;11
V-04047;1157850;TSXV;DMG Blockchain Solutions Inc.;DMGI; 88 350 465 ; 203 104 518 ;Technology;Blockchain/Cryptocurrency;BC;Canada;QT;20180213;;OTCQB;Y;Y;Y;;;;;;;;; Fintech ;; 135 918 109 ; 74 985 531 ; 52 176 ;11
V-03944;1150440;TSXV;Dolly Varden Silver Corporation;DV; 345 801 955 ; 304 671 326 ;Mining;;BC;Canada;Other;20120214;;OTCQX;;Y;;;;;;;;;;;; 70 564 965 ; 72 842 900 ; 53 325 ;11
V-04843;1185795;TSXV;Dominus Acquisition Corp.;DAQ.P; 325 500 ; 9 300 000 ;CPC;;BC;Canada;IPO/CPC;20220210;;;Y;;;;;;;;;;;;; 438 617 ; 38 256 ; 41 ;8
V-04537;1182090;TSXV;Dore Copper Mining Corp.;DCMC; 22 857 372 ; 169 313 863 ;Mining;;QC;Canada;QT;20191217;;OTCQX;Y;;;;;;;;;;;;; 19 391 296 ; 2 342 945 ; 2 259 ;11
V-03670;1133420;TSXV;Doubleview Gold Corp.;DBG; 69 345 107 ; 203 956 196 ;Mining;;BC;Canada;QT;20110722;;OTCQB;Y;Y;;;;;;;;;;;; 24 280 260 ; 10 634 283 ; 7 704 ;11
V-04844;1186200;TSXV;Draxos Capital Corp.;DRAX.P; 242 510 ; 3 233 470 ;CPC;;AB;Canada;IPO/CPC;20220224;;;Y;;;;;;;;;;;;; 71 536 ; 6 304 ; 20 ;7
V-04523;1182030;TSXV;Drummond Ventures Corp.;DVX.P; 717 500 ; 5 125 000 ;CPC;;BC;Canada;IPO/CPC;20181221;;;Y;;;;;;;;;;;;; 65 300 ; 11 428 ; 19 ;6
V-04992;1187615;TSXV;Dryden Gold Corp.;DRY; 16 143 364 ; 134 528 030 ;Mining;;ON;Canada;Other;20231229;;;;;;;;;;;;;;;; 29 825 929 ; 4 673 170 ; 5 274 ;11
V-02991;1117467;TSXV;Durango Resources Inc.;DGO; 1 884 137 ; 94 206 872 ;Mining;;BC;Canada;IPO;20090702;;OTCQB;;;;;;;;;;;;;; 9 372 641 ; 235 302 ; 552 ;11
V-00586;30240;TSXV;Dynasty Gold Corp.;DYG; 7 334 929 ; 61 124 411 ;Mining;;BC;Canada;;20030514;;;;;;;;;;;;;;;; 13 234 841 ; 1 931 095 ; 1 909 ;11
V-04681;1184500;TSXV;E2Gold Inc.;ETU; 1 122 522 ; 224 504 367 ;Mining;;ON;Canada;IPO;20201230;;OTCQB;;;;;;;;;;;;;; 73 592 471 ; 805 752 ; 2 372 ;11
V-00189;1009474;TSXV;E3 Lithium Ltd.;ETL; 84 301 725 ; 75 269 397 ;Mining;;AB;Canada;;;;OTCQX;;Y;;;;;;;;;;;; 29 187 341 ; 43 424 523 ; 44 346 ;11
V-00603;1023673;TSXV;Eagle Plains Resources Ltd.;EPL; 11 505 723 ; 115 057 227 ;Mining;;BC;Canada;;19940406;;;;;;;;;;;;;;;; 11 511 866 ; 1 263 796 ; 1 216 ;11
V-04616;1166755;TSXV;Earth Alive Clean Technologies Inc.;EAC; 2 891 779 ; 578 355 858 ;Clean Technology & Renewable Energy;;QC;Canada;Other;20191210;;;;;;;;;Industrial Products & Services;Low Impact Material and Products;;;;;; 21 063 860 ; 268 978 ; 498 ;9
V-04361;1179987;TSXV;EarthLabs Inc.;SPOT; 24 114 842 ; 137 799 095 ;Technology;;ON;Canada;COB;20230216;;OTCQX;Y;;;;;;;;;;; Investment Company ;; 15 902 498 ; 3 199 593 ; 2 521 ;11
V-00607;29301;TSXV;Earthworks Industries Inc.;EWK; 5 659 529 ; 113 190 572 ;Clean Technology & Renewable Energy;;BC;Canada;;;;;;;Y;;;;Industrial Products & Services;Waste Reduction and Water Management;;;;;; 10 220 347 ; 1 626 009 ; 1 296 ;11
V-04137;1163480;TSXV;East Africa Metals Inc.;EAM; 25 597 530 ; 204 780 236 ;Mining;;BC;Canada;Other;20130711;;;;;;;;;;;;;;;; 16 642 158 ; 2 913 298 ; 1 834 ;11
V-00064;36493;TSXV;East West Petroleum Corp.;EW; 3 619 427 ; 90 485 665 ;Oil & Gas;;BC;Canada;;;;;;;;;;;;;;;;;; 9 414 125 ; 549 036 ; 853 ;11
V-00611;29141;TSXV;Eastfield Resources Ltd.;ETF; 1 539 040 ; 61 561 585 ;Mining;;BC;Canada;;;;;;;;;;;;;;;;;; 7 290 912 ; 225 926 ; 1 077 ;11
V-04215;1167235;TSXV;Eastwood Bio-Medical Canada Inc.;EBM; 51 664 477 ; 68 885 969 ;Life Sciences;;BC;Canada;IPO;20140905;;;;;;;;;;;; Pharmaceuticals ;;;; 290 203 ; 202 682 ; 296 ;11
V-04744;1184856;TSXV;ECC Ventures 4 Corp.;ECCF.P; 904 000 ; 5 650 000 ;CPC;;BC;Canada;IPO/CPC;20210615;;;Y;;;;;;;;;;;;; 10 010 ; 1 722 ; 6 ;4
V-04818;1185655;TSXV;ECC Ventures 5 Corp.;ECCV.P; 847 500 ; 5 650 000 ;CPC;;BC;Canada;IPO/CPC;20211216;;;Y;;;;;;;;;;;;; 16 000 ; 2 360 ; 5 ;4
V-04819;1185656;TSXV;ECC Ventures 6 Corp.;ECCS.P; 904 000 ; 5 650 000 ;CPC;;BC;Canada;IPO/CPC;20211217;;;Y;;;;;;;;;;;;;;;;
V-02666;1114615;TSXV;Eco (Atlantic) Oil & Gas Ltd.;EOG; 62 031 963 ; 344 622 014 ;Oil & Gas;;ON;Canada;RTO;20111129;AIM;;Y;;;;;Y;;;;;;;; 89 535 571 ; 16 595 287 ; 9 052 ;11
V-04295;1176710;TSXV;Ecolomondo Corporation;ECM; 32 624 604 ; 217 497 358 ;Clean Technology & Renewable Energy;;QC;Canada;QT;20171031;;;Y;;;;;;Industrial Products & Services;Waste Reduction and Water Management;;;;;; 3 985 031 ; 774 493 ; 939 ;11
V-04691;1184650;TSXV;Eddy Smart Home Solutions Ltd.;EDY; 15 627 989 ; 6 128 623 ;Clean Technology & Renewable Energy;;ON;Canada;QT;20220127;;;Y;;;;;;Technology;Waste Reduction and Water Management;;;;;; 4 623 503 ; 430 772 ; 467 ;11
V-04625;1183515;TSXV;Edge Total Intelligence Inc.;CTRL; 37 007 023 ; 43 537 674 ;Technology;;VA;USA;QT;20220124;;OTCQB;Y;;;Arlington;;;;;;;; Software ;; 5 332 143 ; 4 162 247 ; 4 223 ;11
V-01079;1024001;TSXV;Edgewater Wireless Systems Inc.;YFI; 6 905 707 ; 197 305 907 ;Technology;;ON;Canada;RTO from NEX;20111102;;;;;;;;;;;;;; Communication Technology ;; 20 073 056 ; 878 188 ; 982 ;11
V-03851;1142415;TSXV;Edison Lithium Corp.;EDDY; 1 707 352 ; 18 970 583 ;Mining;;BC;Canada;IPO;20110803;;OTCQB;;;;;;;;;;;;;; 2 738 135 ; 312 934 ; 676 ;11
V-01489;1099330;TSXV;EDM Resources Inc.;EDM; 4 404 112 ; 44 041 123 ;Mining;;NS;Canada;;;;;;;;;;;;;;;;;; 6 335 481 ; 855 271 ; 615 ;11
V-03631;1122448;TSXV;EGR Exploration Ltd.;EGR; 2 084 960 ; 41 699 202 ;Mining;;BC;Canada;Other;20100929;;;;;;;;;;;;;;;; 5 283 458 ; 266 415 ; 485 ;11
V-01900;1023266;TSXV;Eguana Technologies Inc.;EGT; 4 489 560 ; 448 956 022 ;Clean Technology & Renewable Energy;;AB;Canada;;;;OTCQB;;;;;;;Technology;Renewable Energy Equipment Manufacturing and Tech;;;;;; 69 259 848 ; 802 792 ; 1 797 ;11
V-04004;1149985;TSXV;Elcora Advanced Materials Corp.;ERA; 3 407 540 ; 170 377 013 ;Mining;;NS;Canada;QT;20130312;;;Y;;;;;;;;;;;;; 19 053 670 ; 552 171 ; 687 ;11
V-04064;1159475;TSXV;Electra Battery Materials Corporation;ELBM; 38 894 958 ; 57 198 467 ;Mining;;BC;Canada;Other;20121003;NasdaqCM;;;;;;;;;;;;;;; 14 057 536 ; 9 785 247 ; 10 694 ;11
V-04530;1182338;TSXV;Electric Metals (USA) Limited;EML; 12 300 578 ; 144 712 683 ;Mining;;ON;Canada;QT;20210507;;OTCQB;Y;;;;;;;;;;;;; 9 169 718 ; 1 057 268 ; 1 602 ;11
V-04387;1179975;TSXV;Electric Royalties Ltd.;ELEC; 22 634 484 ; 102 884 017 ;Mining;;BC;Canada;QT;20200629;;OTCQB;Y;;;;;;;;;;;;; 7 151 052 ; 1 608 074 ; 1 770 ;11
